C,pe1,sd1,pe2,sd2,pe3,sd3,pe4,sd4
.00003051,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00006103,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00012207,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00024414,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00048828,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00097656,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00195312,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00390625,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.00781250,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314,0.35751295,0.00996314
.01562500,0.18652850,0.00809771,0.28713299,0.00940511,0.35708117,0.00996047,0.35751295,0.00996314
.03125000,0.14982729,0.00741938,0.14032815,0.00722033,0.22884283,0.00873290,0.35492228,0.00994697
.06250000,0.11269430,0.00657364,0.08808290,0.00589172,0.09801382,0.00618104,0.20811744,0.00843923
.12500000,0.08203800,0.00570477,0.06088083,0.00497072,0.06865285,0.00525658,0.09283247,0.00603270
.25000000,0.06778929,0.00522584,0.05483592,0.00473265,0.05829016,0.00487051,0.06433506,0.00510038
.50000000,0.06217617,0.00501985,0.05051813,0.00455287,0.05181347,0.00460772,0.05397237,0.00469738
1,0.05310881,0.00466178,0.04533679,0.00432483,0.04447323,0.00428538,0.04792746,0.00444064
2,0.05094991,0.00457125,0.04101900,0.00412302,0.04101900,0.00412302,0.04274611,0.00420514
4,0.04965458,0.00451584,0.04101900,0.00412302,0.03886010,0.00401757,0.03842832,0.00399609
8,0.04922280,0.00449719,0.04058722,0.00410219,0.03799655,0.00397446,0.03842832,0.00399609
16,0.04879102,0.00447843,0.04058722,0.00410219,0.03626943,0.00388657,0.03497409,0.00381910
32,0.04879102,0.00447843,0.04015544,0.00408123,0.03324698,0.00372694,0.03540587,0.00384174
64,0.04792746,0.00444064,0.04145078,0.00414373,0.03497409,0.00381910,0.03454231,0.00379630
128,0.04879102,0.00447843,0.04058722,0.00410219,0.03454231,0.00379630,0.03238342,0.00367986
256,0.04879102,0.00447843,0.04015544,0.00408123,0.03367876,0.00375022,0.03281520,0.00370348
512,0.04835924,0.00445959,0.04015544,0.00408123,0.03195164,0.00365606,0.03195164,0.00365606
1024,0.04835924,0.00445959,0.03842832,0.00399609,0.03324698,0.00372694,0.03065630,0.00358358
2048,0.04879102,0.00447843,0.03799655,0.00397446,0.03151986,0.00363208,0.03108808,0.00360792
4096,0.04879102,0.00447843,0.03842832,0.00399609,0.03108808,0.00360792,0.03065630,0.00358358
8192,0.04879102,0.00447843,0.03842832,0.00399609,0.03022453,0.00355905,0.03108808,0.00360792
16384,0.04879102,0.00447843,0.03886010,0.00401757,0.03065630,0.00358358,0.03195164,0.00365606
32768,0.04879102,0.00447843,0.03886010,0.00401757,0.03065630,0.00358358,0.03151986,0.00363208
