d,err_train,err_test,nSV,nBSV
1,0.04879102,.038810,293,287
2,0.03842832,.034929,231,220
3,0.03022453,.040103,190,171
4,0.03108808,.037516,186,157
5,0.02936097,.042691,187,160
6,0.03065630,.041397,202,168
7,0.03238342,.041397,211,174
8,0.03324698,.040103,223,189
9,0.03151986,.038810,231,202
10,0.03454231,.038810,244,217
11,0.03713299,.038810,267,243
12,0.03756477,.041397,308,281
13,0.04058722,.043984,363,342
14,0.04576857,.043984,437,419
15,0.06044905,.049159,528,510
16,0.07081174,.055627,644,626
17,0.09801382,.078913,787,769
18,0.12694301,.093144,920,907
19,0.16450777,.130660,1066,1053
20,0.19948187,.173351,1189,1177
